Visa subclass,Base application charge,Additional applicant charge 18 and over,Additional applicant charge under 18,Non-internet application charge,Subsequent temporary application charge
Adoption visa (subclass 102) ,"AUD3,235.00 ","AUD1,615.00 ",AUD810.00 ,N/A ,N/A 
Aged Dependent Relative visa (subclass 114) ,"AUD5,280.00 ","AUD2,640.00 ","AUD1,325.00 ",N/A ,N/A 
Aged Dependent Relative visa (subclass 838) ,"AUD5,280.00 ","AUD2,640.00 ","AUD1,325.00 ",N/A ,N/A 
Aged Parent (subclass 804) ,"AUD5,280.00 ","AUD2,640.00 ","AUD1,325.00 ",N/A ,N/A 
Australian Declaratory visa (zz 998) Adult - Inside Australia ,AUD185.00 ,N/A ,N/A ,N/A ,N/A 
Australian Declaratory visa (zz 998) Adult - Outside Australia ,AUD240.00 ,N/A ,N/A ,N/A ,N/A 
Australian Declaratory visa (zz 998) Child - Inside Australia ,AUD120.00 ,N/A ,N/A ,N/A ,N/A 
Australian Declaratory visa (zz 998) Child - Outside Australia ,AUD185.00 ,N/A ,N/A ,N/A ,N/A 
Border (subclass 773) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Bridging visa A (BVA) (subclass 010) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Bridging visa B (BVB) (subclass 020) ,AUD190.00 ,N/A ,N/A ,N/A ,N/A 
Bridging visa C (BVC) (subclass 030) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Bridging visa D - BVD (subclass 040) ,N/A ,N/A ,N/A ,N/A ,N/A 
Bridging visa E - BVE (subclass 050 and 051) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Bridging visa F - BVF - (subclass 060) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Business Innovation and Investment (Permanent) visa (subclass 888) - Business Innovation stream ,"AUD3,500.00 ","AUD1,755.00 ",AUD875.00 ,N/A ,N/A 
Business Innovation and Investment (Permanent) visa (subclass 888) - Entrepreneur stream ,"AUD3,500.00 ","AUD1,755.00 ",AUD875.00 ,N/A ,N/A 
Business Innovation and Investment (Permanent) visa (subclass 888) - Investor stream ,"AUD3,500.00 ","AUD1,755.00 ",AUD875.00 ,N/A ,N/A 
Business Innovation and Investment (Permanent) visa (subclass 888) - Premium Investor stream ,"AUD3,500.00 ","AUD1,755.00 ",AUD875.00 ,N/A ,N/A 
Business Innovation and Investment (Permanent) visa (subclass 888) - Significant Investor stream ,"AUD3,500.00 ","AUD1,755.00 ",AUD875.00 ,N/A ,N/A 
Business Innovation and Investment (Provisional) visa (subclass 188) - Business Innovation Extension stream ,"AUD1,205.00 ",AUD605.00 ,AUD305.00 ,N/A ,N/A 
Business Innovation and Investment (Provisional) visa (subclass 188) - Business Innovation stream ,"AUD10,000.00 ","AUD5,000.00 ","AUD2,500.00 ",N/A ,N/A 
Business Innovation and Investment (Provisional) visa (subclass 188) - Entrepreneur stream ,"AUD6,765.00 ","AUD3,385.00 ","AUD1,690.00 ",N/A ,N/A 
Business Innovation and Investment (Provisional) visa (subclass 188) - Investor stream ,"AUD10,000.00 ","AUD5,000.00 ","AUD2,500.00 ",N/A ,N/A 
Business Innovation and Investment (Provisional) visa (subclass 188) - Premium Investor stream ,"AUD9,455.00 ","AUD4,725.00 ","AUD2,365.00 ",N/A ,N/A 
Business Innovation and Investment (Provisional) visa (subclass 188) - Significant Investor Extension stream ,"AUD1,205.00 ",AUD605.00 ,AUD305.00 ,N/A ,N/A 
Business Innovation and Investment (Provisional) visa (subclass 188) - Significant Investor stream ,"AUD14,670.00 ","AUD7,335.00 ","AUD3,670.00 ",N/A ,N/A 
Business Owner visa (subclass 890) ,"AUD2,890.00 ","AUD1,445.00 ",AUD720.00 ,N/A ,N/A 
Business Talent (subclass 132) - Significant Business History ,"AUD7,855.00 ","AUD3,930.00 ","AUD1,960.00 ",N/A ,N/A 
Carer visa (subclass 116) ,"AUD2,175.00 ","AUD1,090.00 ",AUD545.00 ,N/A ,N/A 
Carer visa (subclass 836) ,"AUD2,175.00 ","AUD1,090.00 ",AUD545.00 ,N/A ,N/A 
Child visa (subclass 101) ,"AUD3,235.00 ","AUD1,615.00 ",AUD810.00 ,N/A ,N/A 
Child visa (subclass 802) ,"AUD3,235.00 ","AUD1,615.00 ",AUD810.00 ,N/A ,N/A 
Child visa (subclass 802) - State Government supported ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Confirmatory (Residence) visa (subclass 808) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Confirmatory (Residence) visa (subclass 808) - Previous holder of subclass 773 visa ,AUD365.00 ,AUD185.00 ,AUD95.00 ,N/A ,N/A 
Contributory Aged Parent (Temporary) visa (subclass 884) ,"AUD5,040.00 ","AUD2,515.00 ","AUD1,260.00 ",N/A ,N/A 
Contributory Aged Parent (Temporary) visa (subclass 884) - Newborn and other applicants ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Contributory Aged Parent visa (subclass 864) - any other applicants see note ,"AUD5,040.00 ","AUD2,515.00 ","AUD1,260.00 ",N/A ,N/A 
Contributory Aged Parent visa (subclass 864) - see note for eligibility ,AUD445.00 ,AUD225.00 ,AUD110.00 ,N/A ,N/A 
Contributory Aged Parent visa (subclass 864) - see note for eligibility ,"AUD5,040.00 ","AUD2,515.00 ","AUD1,260.00 ",N/A ,N/A 
Contributory Aged Parent visa (subclass 864) - see note for eligibility ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Contributory Parent (Temporary) visa (subclass 173) ,"AUD3,395.00 ","AUD1,700.00 ",AUD855.00 ,N/A ,N/A 
Contributory Parent (Temporary) visa (subclass 173) - see note for eligibility ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Contributory Parent visa (subclass 143) - Applicant meets conditions defined in Note 19b ,AUD445.00 ,AUD225.00 ,AUD110.00 ,N/A ,N/A 
Contributory Parent visa (subclass 143) - Applicant meets conditions defined in Note 19c ,"AUD3,235.00 ","AUD1,615.00 ",AUD810.00 ,N/A ,N/A 
Contributory Parent visa (subclass 143) - Applicant meets conditions defined in Note 19d ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Contributory Parent visa (subclass 143) - Applicant meets conditions defined in Note 19d2 ,"AUD5,040.00 ","AUD1,700.00 ",AUD855.00 ,N/A ,N/A 
Dependent Child visa (subclass 445) ,"AUD3,235.00 ","AUD1,615.00 ",AUD810.00 ,N/A ,N/A 
Diplomatic (Temporary) (subclass 995) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A
Distinguished Talent visa (subclass 124) ,"AUD4,110.00 ","AUD2,055.00 ","AUD1,030.00 ",N/A ,N/A 
Electronic Travel Authority (subclass 601) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Employer Nomination Scheme visa (subclass 186) - Direct Entry stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Employer Nomination Scheme visa (subclass 186) - Labour agreement stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
Employer Nomination Scheme visa (subclass 186) - Temporary Residence Transition stream ,"AUD4,910.00 ","AUD2,455.00 ","AUD1,230.00 ",N/A ,N/A 
eVisitor (subclass 651) ,AUD0.00 ,N/A ,N/A ,N/A ,N/A 
Former Resident visa (subclass 151) ,"AUD4,805.00 ","AUD2,400.00 ","AUD1,200.00 ",N/A ,N/A 
Global Special Humanitarian visa (subclass 202) ,AUD570.00 ,N/A ,N/A ,N/A ,N/A 
Investor Retirement visa (subclass 405) ,AUD505.00 ,AUD255.00 ,AUD125.00 ,N/A ,N/A 
